,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
284,CARBORUNIV,Carborundum Universal Limited,EQ,1996-01-03 00:04:00,1,1,INE120A01034,1
685,HOTELRUGBY,Hotel Rugby Limited,BE,1996-01-03 00:04:00,10,1,INE275F01019,10
211,BBTC,Bombay Burmah Trading Corporation Limited,EQ,1996-01-03 00:04:00,2,1,INE050A01025,2
709,IFBAGRO,IFB Agro Industries Limited,EQ,1996-01-03 00:04:00,10,1,INE076C01018,10
1106,NAVA,NAVA LIMITED,EQ,1996-01-03 00:04:00,2,1,INE725A01022,2
1292,PVP,PVP Ventures Limited,EQ,1996-01-03 00:04:00,10,1,INE362A01016,10
234,BHARATGEAR,Bharat Gears Limited,EQ,1996-01-03 00:04:00,10,1,INE561C01019,10
1620,TATAPOWER,Tata Power Company Limited,EQ,1996-01-03 00:04:00,1,1,INE245A01021,1
1273,PREMIER,Premier Limited,BE,1996-01-03 00:04:00,10,1,INE342A01018,10
440,EASTSILK,Eastern Silk Industries Limited,BE,1996-01-03 00:07:00,2,1,INE962C01027,2
728,INDHOTEL,The Indian Hotels Company Limited,EQ,1996-01-03 00:07:00,1,1,INE053A01029,1
1331,REGENCERAM,Regency Ceramics Limited,BE,1996-01-05 00:06:00,10,1,INE277C01012,10
1401,SAMBHAAV,Sambhaav Media Limited,BE,1996-01-05 00:06:00,1,1,INE699B01027,1
598,GREENPLY,Greenply Industries Limited,EQ,1996-01-06 00:03:00,1,1,INE461C01038,1
1314,RAMCOIND,Ramco Industries Limited,EQ,1996-01-06 00:11:00,1,1,INE614A01028,1
1471,SHREYANIND,Shreyans Industries Limited,EQ,1996-01-06 00:11:00,10,1,INE231C01019,10
1059,MODIRUBBER,Modi Rubber Limited,BE,1996-01-07 00:02:00,10,1,INE832A01018,10
663,HINDCOMPOS,Hindustan Composites Limited,EQ,1996-01-08 00:05:00,5,1,INE310C01029,5
545,GICHSGFIN,GIC Housing Finance Limited,EQ,1996-01-08 00:05:00,10,1,INE289B01019,10
618,GUJRAFFIA,Gujarat Raffia Industries Limited,BE,1996-01-09 00:10:00,10,1,INE610B01024,10
110,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,1996-01-10 00:01:00,5,1,INE437A01024,5
737,INDLMETER,IMP Powers Limited,BZ,1996-01-10 00:01:00,10,1,INE065B01013,10
1527,SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,1996-01-10 00:01:00,10,1,INE147A01011,10
1555,SUBCAPCITY,International Constructions Limited,BE,1996-01-10 00:07:00,10,1,INE845C01016,10
1823,ZENITHEXPO,Zenith Exports Limited,BE,1996-01-10 00:07:00,10,1,INE058B01018,10
1539,SRTRANSFIN,Shriram Transport Finance Company Limited,EQ,1996-01-11 00:12:00,10,1,INE721A01013,10
